Genus	predicted_mobility	Relaxase	PCN	Multiple_replicons	Length_chr	gc	Number_plasmids	Predicted_ptu	Logsize
Escherichia	mobilizable	No MOB	99.4992041672906	Single replicons	5326222	51.0652033570045	3	PTU-E9	3.19005141775921
Escherichia	mobilizable	MOBP	99.0615033898815	Single replicons	4923370	48.6406950672646	5	PTU-E14	3.85345484136807
Escherichia	mobilizable	MOBQ	97.2752086737579	Single replicons	4996252	48.4655688622754	7	PTU-E10	3.72786644946749
Escherichia	mobilizable	Multiple MOB	94.9038676106929	Single replicons	4844012	52.9253530598521	7	PTU-E3	3.64943222324162
Escherichia	mobilizable	MOBP	94.8264004736607	Single replicons	4551556	55.367734282325	6	PTU-E1	3.5278875659527
Salmonella	mobilizable	No MOB	94.3379788306164	Single replicons	4790331	0.555820610687023	5	PTU-E11	3.32139127831169
Escherichia	mobilizable	No MOB	93.7210019218174	Single replicons	5036755	51.0006455777921	2	PTU-E9	3.19005141775921
Escherichia	mobilizable	No MOB	93.516589062778	Single replicons	5129351	51.0006455777921	5	PTU-E9	3.19005141775921
Escherichia	mobilizable	No MOB	91.9931543740678	Single replicons	5141728	51.0006455777921	5	PTU-E9	3.19005141775921
Escherichia	non-mobilizable	No MOB	91.9106967455858	Single replicons	5142974	47.1743295019157	6	PTU-E47	3.31973049433022
Salmonella	mobilizable	Multiple MOB	91.264998741134	Single replicons	4867746	0.504681036359678	1	PTU-E14	3.66209644541792
Escherichia	mobilizable	No MOB	89.7036372778707	Single replicons	4779689	51.0652033570045	6	PTU-E9	3.19005141775921
Escherichia	mobilizable	MOBQ	89.6730982311651	Single replicons	4914339	47.5130636733114	6	PTU-E7	3.71323846154566
Escherichia	non-mobilizable	No MOB	89.2780983047926	Single replicons	4977654	50.265604249668	4	PTU-E9	3.17782497186468
Escherichia	mobilizable	MOBP	87.8365601121579	Single replicons	4718083	48.5482172408605	5	PTU-E1	3.82262567877414
Salmonella	mobilizable	Multiple MOB	87.7997668125743	Single replicons	4841666	0.551601423487544	3	PTU-E1	3.5278875659527
Escherichia	non-mobilizable	No MOB	87.7389879612715	Single replicons	4829544	47.1204188481675	9	PTU-E47	3.32242605240595
Escherichia	non-mobilizable	No MOB	87.3826005948025	Single replicons	4947577	51.266149870801	6	PTU-E11	3.28668096935493
Escherichia	non-mobilizable	No MOB	86.9895889213378	Single replicons	4836724	56.5730337078652	8	PTU-E11	3.25042000230889
