FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCF_000464955.2_ASM46495v2_genomic.fna	NZ_CP023541.1	509948	511081	-	blaEC-18	1-1134/1134	===============	0/0	100.00	99.91	ncbi	NG_049083.1	class C extended-spectrum beta-lactamase EC-18	CEPHALOSPORIN
GCF_000732965.1_ASM73296v1_genomic.fna	NZ_CP008957.1	5280957	5282090	-	blaEC-15	1-1134/1134	===============	0/0	100.00	98.06	ncbi	NG_049081.1	class C extended-spectrum beta-lactamase EC-15	CEPHALOSPORIN
GCF_000829985.1_ASM82998v1_genomic.fna	NZ_CP009166.1	1192128	1193333	-	tet(B)	1-1206/1206	===============	0/0	100.00	100.00	ncbi	NG_048161.1	tetracycline efflux MFS transporter Tet(B)	TETRACYCLINE
GCF_000829985.1_ASM82998v1_genomic.fna	NZ_CP009166.1	1198894	1199721	+	aph(3'')-Ib	1-828/828	===============	0/0	100.00	99.88	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
GCF_000829985.1_ASM82998v1_genomic.fna	NZ_CP009166.1	1199721	1200557	+	aph(6)-Id	1-837/837	===============	0/0	100.00	99.88	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
GCF_000829985.1_ASM82998v1_genomic.fna	NZ_CP009166.1	1201330	1202145	-	sul2	1-816/816	===============	0/0	100.00	100.00	ncbi	NG_051852.1	sulfonamide-resistant dihydropteroate synthase Sul2	SULFONAMIDE
GCF_000829985.1_ASM82998v1_genomic.fna	NZ_CP009166.1	4659146	4660279	-	blaEC-15	1-1134/1134	===============	0/0	100.00	98.59	ncbi	NG_049081.1	class C extended-spectrum beta-lactamase EC-15	CEPHALOSPORIN
GCF_000831565.1_ASM83156v1_genomic.fna	NZ_CP010344.1	4536631	4537764	-	blaEC-18	1-1134/1134	===============	0/0	100.00	99.21	ncbi	NG_049083.1	class C extended-spectrum beta-lactamase EC-18	CEPHALOSPORIN
GCF_000831565.1_ASM83156v1_genomic.fna	NZ_CP010344.1	4699897	4700286	+	fosA7.5	34-423/423	.==============	0/0	92.20	100.00	ncbi	NG_067231.1	fosfomycin resistance glutathione transferase FosA7.5	FOSFOMYCIN
GCF_000978815.2_ASM97881v2_genomic.fna	NZ_CP076232.1	1046825	1047958	-	blaEC-15	1-1134/1134	===============	0/0	100.00	98.06	ncbi	NG_049081.1	class C extended-spectrum beta-lactamase EC-15	CEPHALOSPORIN
GCF_000978845.2_ASM97884v2_genomic.fna	NZ_CP076230.1	5058736	5059869	+	blaEC-15	1-1134/1134	===============	0/0	100.00	98.06	ncbi	NG_049081.1	class C extended-spectrum beta-lactamase EC-15	CEPHALOSPORIN
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013024.1	45799	46659	+	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013024.1	49876	50691	+	sul2	1-816/816	===============	0/0	100.00	99.88	ncbi	NG_048118.1	sulfonamide-resistant dihydropteroate synthase Sul2	SULFONAMIDE
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013024.1	50728	51555	+	aph(3'')-Ib	1-828/828	===============	0/0	100.00	100.00	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013024.1	51555	52295	+	aph(6)-Id	1-741/837	==============.	0/0	88.53	100.00	ncbi	NG_047465.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013024.1	53217	54032	+	aph(3')-Ia	1-816/816	===============	0/0	100.00	100.00	ncbi	NG_047430.1	aminoglycoside O-phosphotransferase APH(3')-Ia	KANAMYCIN
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013024.1	63015	64214	+	tet(A)	1-1200/1200	===============	0/0	100.00	100.00	ncbi	NG_048154.1	tetracycline efflux MFS transporter Tet(A)	TETRACYCLINE
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013025.1	1628161	1629294	+	blaEC	1-1134/1134	===============	0/0	100.00	97.88	ncbi	NG_047495.1	BlaEC family class C beta-lactamase	BETA-LACTAM
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013025.1	2322871	2323344	+	dfrA1	1-474/474	===============	0/0	100.00	99.79	ncbi	NG_047677.1	trimethoprim-resistant dihydrofolate reductase DfrA1	TRIMETHOPRIM
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013025.1	2323437	2324228	+	aadA1	1-792/792	===============	0/0	100.00	100.00	ncbi	NG_047324.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	STREPTOMYCIN
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013025.1	2324733	2325572	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013025.1	2338321	2339181	+	blaTEM-12	1-861/861	===============	0/0	100.00	99.88	ncbi	NG_050163.1	class A extended-spectrum beta-lactamase TEM-12	CEPHALOSPORIN
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013025.1	2340086	2340901	+	aph(3')-Ia	1-816/816	===============	0/0	100.00	100.00	ncbi	NG_047431.1	aminoglycoside O-phosphotransferase APH(3')-Ia	KANAMYCIN
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013027.1	122706	123521	+	sul2	1-816/816	===============	0/0	100.00	100.00	ncbi	NG_051852.1	sulfonamide-resistant dihydropteroate synthase Sul2	SULFONAMIDE
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013027.1	130438	131643	-	tet(B)	1-1206/1206	===============	0/0	100.00	100.00	ncbi	NG_048173.1	tetracycline efflux MFS transporter Tet(B)	TETRACYCLINE
GCF_001420955.1_ASM142095v1_genomic.fna	NZ_CP013027.1	137204	138031	+	aph(3'')-Ib	1-828/828	===============	0/0	100.00	99.88	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
