FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCF_000017665.1_ASM1766v1_genomic.fna	NC_009778.1	1644404	1644811	+	fos-Crono	1-408/408	===============	0/0	100.00	88.97	ncbi	NG_051888.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCF_000017665.1_ASM1766v1_genomic.fna	NC_009778.1	1808021	1809148	-	blaCSA-1	1-1128/1128	===============	0/0	100.00	98.40	ncbi	NG_062223.1	class C beta-lactamase CSA-1	CEPHALOTHIN
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008823.1	588662	589807	-	blaACT-73	1-1146/1146	===============	0/0	100.00	99.91	ncbi	NG_066689.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-73	CEPHALOSPORIN
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008823.1	744571	744996	+	fosA	1-426/426	===============	0/0	100.00	97.42	ncbi	NG_050405.1	fosfomycin resistance glutathione transferase FosA	FOSFOMYCIN
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008823.1	3484007	3487126	-	oqxB9	1-3120/3153	===============	0/0	98.95	89.04	ncbi	NG_050458.1	multidrug efflux RND transporter permease subunit OqxB9	PHENICOL;QUINOLONE
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008823.1	3487150	3488325	-	oqxA9	1-1176/1176	===============	0/0	100.00	87.16	ncbi	NG_050427.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA9	PHENICOL;QUINOLONE
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	26723	27871	+	blaFOX-5	1-1149/1149	===============	0/0	100.00	100.00	ncbi	NG_049105.1	cephalosporin-hydrolyzing class C beta-lactamase FOX-5	CEPHALOSPORIN
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	54882	55355	+	dfrA14	1-474/474	===============	0/0	100.00	100.00	ncbi	NG_056035.1	trimethoprim-resistant dihydrofolate reductase DfrA14	TRIMETHOPRIM
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	204766	205299	+	ant(2'')-Ia	1-534/534	===============	0/0	100.00	100.00	ncbi	NG_047387.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	GENTAMICIN;KANAMYCIN;TOBRAMYCIN
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	205797	206636	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048081.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	208906	210381	+	msr(E)	1-1476/1476	===============	0/0	100.00	100.00	ncbi	NG_048007.1	ABC-F type ribosomal protection protein Msr(E)	MACROLIDE
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	210437	211321	+	mph(E)	1-885/885	===============	0/0	100.00	100.00	ncbi	NG_064660.1	Mph(E) family macrolide 2'-phosphotransferase	MACROLIDE
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	213061	213912	+	sul1	1-852/852	===============	0/0	100.00	100.00	ncbi	NG_048083.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	222393	223274	-	blaKPC-2	1-882/882	===============	0/0	100.00	100.00	ncbi	NG_049253.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	CARBAPENEM
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	264080	264940	-	blaSHV-5	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050087.1	class A extended-spectrum beta-lactamase SHV-5	CEPHALOSPORIN
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	269666	270220	+	aac(6')-Ib-AKT	1-555/555	===============	0/0	100.00	99.82	ncbi	NG_052358.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	AMIKACIN;KANAMYCIN;TOBRAMYCIN
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	270296	270760	+	aac(3)-Ia	1-465/465	===============	0/0	100.00	100.00	ncbi	NG_047234.1	aminoglycoside N-acetyltransferase AAC(3)-Ia	GENTAMICIN
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	271307	272146	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	274425	275081	+	qnrA1	1-657/657	===============	0/0	100.00	100.00	ncbi	NG_050462.1	quinolone resistance pentapeptide repeat protein QnrA1	QUINOLONE
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008824.1	275281	276120	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008825.1	116356	117216	-	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008825.1	126219	127100	+	blaKPC-3	1-882/882	===============	0/0	100.00	100.00	ncbi	NG_049257.1	carbapenem-hydrolyzing class A beta-lactamase KPC-3	CARBAPENEM
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008825.1	138563	139096	+	ant(2'')-Ia	1-534/534	===============	0/0	100.00	100.00	ncbi	NG_047387.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	GENTAMICIN;KANAMYCIN;TOBRAMYCIN
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008825.1	139179	139811	+	catB3	1-633/633	===============	0/0	100.00	100.00	ncbi	NG_047604.1	type B-3 chloramphenicol O-acetyltransferase CatB3	CHLORAMPHENICOL
GCF_000724505.1_ASM72450v1_genomic.fna	NZ_CP008825.1	140309	141148	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
