FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCF_000430085.2_ASM43008v2_genomic.fna	NC_021812.2	372584	373006	+	fosA7	1-423/423	===============	0/0	100.00	100.00	ncbi	NG_054942.1	fosfomycin resistance glutathione transferase FosA7	FOSFOMYCIN
GCF_000430085.2_ASM43008v2_genomic.fna	NC_021813.2	82534	83325	+	aadA1	1-792/792	===============	0/0	100.00	100.00	ncbi	NG_047324.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	STREPTOMYCIN
GCF_000430085.2_ASM43008v2_genomic.fna	NC_021813.2	83492	84391	+	aac(3)-VIa	1-900/900	===============	0/0	100.00	99.89	ncbi	NG_052583.3	aminoglycoside N-acetyltransferase AAC(3)-VIa	GENTAMICIN
GCF_000430085.2_ASM43008v2_genomic.fna	NC_021813.2	90391	91230	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCF_000430105.1_ASM43010v1_genomic.fna	NC_021810.1	1689048	1689470	+	fosA7	1-423/423	===============	0/0	100.00	100.00	ncbi	NG_054942.1	fosfomycin resistance glutathione transferase FosA7	FOSFOMYCIN
GCF_000430105.1_ASM43010v1_genomic.fna	NC_021811.1	68829	69689	+	aac(3)-IId	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_047251.1	aminoglycoside N-acetyltransferase AAC(3)-IId	GENTAMICIN
GCF_000430105.1_ASM43010v1_genomic.fna	NC_021811.1	74661	75521	+	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
GCF_000430105.1_ASM43010v1_genomic.fna	NC_021811.1	81208	81999	-	aadA1	1-792/792	===============	0/0	100.00	100.00	ncbi	NG_052146.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	STREPTOMYCIN
GCF_000430105.1_ASM43010v1_genomic.fna	NC_021811.1	88001	89200	+	tet(A)	1-1200/1200	===============	0/0	100.00	100.00	ncbi	NG_048154.1	tetracycline efflux MFS transporter Tet(A)	TETRACYCLINE
GCF_000487935.2_ASM48793v2_genomic.fna	NZ_CP017723.1	2251284	2252144	+	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
GCF_000487935.2_ASM48793v2_genomic.fna	NZ_CP017725.1	1627	2487	+	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
GCF_000487935.2_ASM48793v2_genomic.fna	NZ_CP017725.1	3416	4615	+	tet(A)	1-1200/1200	===============	0/0	100.00	100.00	ncbi	NG_048154.1	tetracycline efflux MFS transporter Tet(A)	TETRACYCLINE
GCF_000487935.2_ASM48793v2_genomic.fna	NZ_CP017725.1	8293	9120	+	aph(3'')-Ib	1-828/828	===============	0/0	100.00	99.76	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
GCF_000487935.2_ASM48793v2_genomic.fna	NZ_CP017725.1	9120	9956	+	aph(6)-Id	1-837/837	===============	0/0	100.00	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
GCF_000783815.2_ASM78381v2_genomic.fna	NZ_CP026053.1	14736	15596	-	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
GCF_000783815.2_ASM78381v2_genomic.fna	NZ_CP026053.1	19707	20906	-	tet(A)	1-1200/1200	===============	0/0	100.00	100.00	ncbi	NG_048154.1	tetracycline efflux MFS transporter Tet(A)	TETRACYCLINE
GCF_001441205.1_ASM144120v1_genomic.fna	NZ_CP012921.1	4644552	4644974	+	fosA7	1-423/423	===============	0/0	100.00	100.00	ncbi	NG_054942.1	fosfomycin resistance glutathione transferase FosA7	FOSFOMYCIN
GCF_001441205.1_ASM144120v1_genomic.fna	NZ_CP012923.1	9322	10467	+	blaCMY-2	1-1146/1146	===============	0/0	100.00	100.00	ncbi	NG_048814.1	class C beta-lactamase CMY-2	CEPHALOSPORIN
GCF_001441225.1_ASM144122v1_genomic.fna	NZ_CP012924.1	4683436	4683858	+	fosA7	1-423/423	===============	0/0	100.00	100.00	ncbi	NG_054942.1	fosfomycin resistance glutathione transferase FosA7	FOSFOMYCIN
GCF_001441225.1_ASM144122v1_genomic.fna	NZ_CP012929.1	12633	13778	+	blaCMY-2	1-1146/1146	===============	0/0	100.00	100.00	ncbi	NG_048814.1	class C beta-lactamase CMY-2	CEPHALOSPORIN
GCF_001441245.1_ASM144124v1_genomic.fna	NZ_CP012930.1	4702733	4703155	+	fosA7	1-423/423	===============	0/0	100.00	100.00	ncbi	NG_054942.1	fosfomycin resistance glutathione transferase FosA7	FOSFOMYCIN
GCF_001441245.1_ASM144124v1_genomic.fna	NZ_CP012931.1	25030	26235	+	tet(B)	1-1206/1206	===============	0/0	100.00	100.00	ncbi	NG_048163.1	tetracycline efflux MFS transporter Tet(B)	TETRACYCLINE
GCF_001441245.1_ASM144124v1_genomic.fna	NZ_CP012931.1	161461	162297	-	aph(6)-Id	1-837/837	===============	0/0	100.00	99.88	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
GCF_001441245.1_ASM144124v1_genomic.fna	NZ_CP012931.1	162297	163124	-	aph(3'')-Ib	1-828/828	===============	0/0	100.00	99.88	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
GCF_001441245.1_ASM144124v1_genomic.fna	NZ_CP012931.1	171790	172581	+	aadA1	1-792/792	===============	0/0	100.00	100.00	ncbi	NG_047324.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	STREPTOMYCIN
GCF_001441245.1_ASM144124v1_genomic.fna	NZ_CP012931.1	173086	173925	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCF_001441245.1_ASM144124v1_genomic.fna	NZ_CP012931.1	186914	187774	-	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
GCF_001441245.1_ASM144124v1_genomic.fna	NZ_CP012936.1	9322	10467	+	blaCMY-2	1-1146/1146	===============	0/0	100.00	100.00	ncbi	NG_048814.1	class C beta-lactamase CMY-2	CEPHALOSPORIN
GCF_001479685.2_ASM147968v2_genomic.fna	NZ_CP123661.1	88527	89732	+	tet(B)	1-1206/1206	===============	0/0	100.00	100.00	ncbi	NG_048163.1	tetracycline efflux MFS transporter Tet(B)	TETRACYCLINE
GCF_001479685.2_ASM147968v2_genomic.fna	NZ_CP123661.1	94406	95233	+	aph(3'')-Ib	1-828/828	===============	0/0	100.00	100.00	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
GCF_001479685.2_ASM147968v2_genomic.fna	NZ_CP123661.1	95233	96069	+	aph(6)-Id	1-837/837	===============	0/0	100.00	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
GCF_001689935.1_ASM168993v1_genomic.fna	NZ_CP016504.1	4644547	4644969	+	fosA7	1-423/423	===============	0/0	100.00	100.00	ncbi	NG_054942.1	fosfomycin resistance glutathione transferase FosA7	FOSFOMYCIN
GCF_001690005.1_ASM169000v1_genomic.fna	NZ_CP016507.1	4644547	4644969	+	fosA7	1-423/423	===============	0/0	100.00	100.00	ncbi	NG_054942.1	fosfomycin resistance glutathione transferase FosA7	FOSFOMYCIN
GCF_001690055.1_ASM169005v1_genomic.fna	NZ_CP016514.1	4644553	4644975	+	fosA7	1-423/423	===============	0/0	100.00	100.00	ncbi	NG_054942.1	fosfomycin resistance glutathione transferase FosA7	FOSFOMYCIN
