FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_000007645.1_ASM764v1_genomic.fna	AE015929.1	221537	221965	+	fosB-251804940	1-429/429	===============	0/0	100.00	100.00	ncbi	NG_047889.1	FosB family fosfomycin resistance bacillithiol transferase	FOSFOMYCIN
GCA_000007645.1_ASM764v1_genomic.fna	AE015929.1	1128934	1129419	-	dfrC	1-486/486	===============	0/0	100.00	100.00	ncbi	NG_047752.1	trimethoprim-resistant dihydrofolate reductase DfrC	TRIMETHOPRIM
GCA_000007645.1_ASM764v1_genomic.fna	AE015929.1	1661974	1662354	-	blaI_of_Z	1-381/381	===============	0/0	100.00	95.54	ncbi	NG_047499.1	penicillinase repressor BlaI	BETA-LACTAM
GCA_000007645.1_ASM764v1_genomic.fna	AE015929.1	1662344	1664101	-	blaR1	1-1758/1758	===============	0/0	100.00	92.55	ncbi	NG_047539.1	beta-lactam sensor/signal transducer BlaR1	BETA-LACTAM
GCA_000007645.1_ASM764v1_genomic.fna	AE015929.1	1664208	1665053	+	blaZ	1-846/846	===============	0/0	100.00	96.57	ncbi	NG_055999.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	BETA-LACTAM
GCA_000007645.1_ASM764v1_genomic.fna	AE015930.1	36	1415	+	tet(K)	1-1380/1380	===============	0/0	100.00	100.00	ncbi	NG_048200.1	tetracycline efflux MFS transporter Tet(K)	TETRACYCLINE
GCA_000007645.1_ASM764v1_genomic.fna	AE015934.1	7261	8106	-	blaZ	1-846/846	===============	0/0	100.00	99.53	ncbi	NG_047533.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	BETA-LACTAM
GCA_000007645.1_ASM764v1_genomic.fna	AE015934.1	8213	9970	+	blaR1	1-1758/1758	===============	0/0	100.00	99.72	ncbi	NG_047539.1	beta-lactam sensor/signal transducer BlaR1	BETA-LACTAM
GCA_000007645.1_ASM764v1_genomic.fna	AE015934.1	9960	10340	+	blaI_of_Z	1-381/381	===============	0/0	100.00	99.74	ncbi	NG_047499.1	penicillinase repressor BlaI	BETA-LACTAM
GCA_000009005.1_ASM900v1_genomic.fna	AJ938182.1	95236	96588	+	tet(38)	1-1353/1353	===============	0/0	100.00	99.70	ncbi	NG_048136.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
GCA_000009585.1_ASM958v1_genomic.fna	AM990992.1	47524	49530	-	mecA	1-2007/2007	===============	0/0	100.00	100.00	ncbi	NG_047939.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	METHICILLIN
GCA_000009585.1_ASM958v1_genomic.fna	AM990992.1	155720	157072	+	tet(38)	1-1353/1353	===============	0/0	100.00	99.56	ncbi	NG_055983.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
GCA_000009585.1_ASM958v1_genomic.fna	AM990992.1	1001761	1003680	-	tet(M)	1-1920/1920	===============	0/0	100.00	99.79	ncbi	NG_048213.1	tetracycline resistance ribosomal protection protein Tet(M)	TETRACYCLINE
GCA_000009585.1_ASM958v1_genomic.fna	AM990992.1	2096944	2097324	-	blaI_of_Z	1-381/381	===============	0/0	100.00	95.28	ncbi	NG_047499.1	penicillinase repressor BlaI	BETA-LACTAM
GCA_000009585.1_ASM958v1_genomic.fna	AM990992.1	2097314	2099071	-	blaR1	1-1758/1758	===============	0/0	100.00	92.83	ncbi	NG_047539.1	beta-lactam sensor/signal transducer BlaR1	BETA-LACTAM
GCA_000009585.1_ASM958v1_genomic.fna	AM990992.1	2099178	2100023	+	blaZ	1-846/846	===============	0/0	100.00	96.81	ncbi	NG_055999.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	BETA-LACTAM
GCA_000009585.1_ASM958v1_genomic.fna	AM990993.1	3727	5106	-	tet(K)	1-1380/1380	===============	0/0	100.00	100.00	ncbi	NG_048200.1	tetracycline efflux MFS transporter Tet(K)	TETRACYCLINE
GCA_000009585.1_ASM958v1_genomic.fna	AM990994.1	185	1033	+	str	1-849/849	===============	0/0	100.00	100.00	ncbi	NG_048080.1	streptomycin adenylyltransferase Str	STREPTOMYCIN
GCA_000009645.1_ASM964v1_genomic.fna	AP003139.1	7945	8790	-	blaZ	1-846/846	===============	0/0	100.00	100.00	ncbi	NG_047533.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	BETA-LACTAM
GCA_000009645.1_ASM964v1_genomic.fna	AP003139.1	8897	10654	+	blaR1	1-1758/1758	===============	0/0	100.00	97.38	ncbi	NG_051774.1	beta-lactam sensor/signal transducer BlaR1	BETA-LACTAM
GCA_000009645.1_ASM964v1_genomic.fna	AP003139.1	10644	11024	+	blaI_of_Z	1-381/381	===============	0/0	100.00	98.69	ncbi	NG_047499.1	penicillinase repressor BlaI	BETA-LACTAM
GCA_000009645.1_ASM964v1_genomic.fna	BA000018.3	40197	40601	-	bleO	1-405/405	===============	0/0	100.00	100.00	ncbi	NG_047557.1	bleomycin binding protein	BLEOMYCIN
GCA_000009645.1_ASM964v1_genomic.fna	BA000018.3	40818	41588	-	ant(4')-Ia	1-771/771	===============	0/0	100.00	99.87	ncbi	NG_056101.1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	KANAMYCIN;TOBRAMYCIN
GCA_000009645.1_ASM964v1_genomic.fna	BA000018.3	45031	47037	-	mecA	1-2007/2007	===============	0/0	100.00	100.00	ncbi	NG_047938.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	METHICILLIN
GCA_000009645.1_ASM964v1_genomic.fna	BA000018.3	47137	48894	+	mecR1	1-1758/1758	===============	0/0	100.00	100.00	ncbi	NG_051163.1	beta-lactam sensor/signal transducer MecR1	METHICILLIN
GCA_000009645.1_ASM964v1_genomic.fna	BA000018.3	48894	49265	+	mecI_of_mecA	1-372/372	===============	0/0	100.00	100.00	ncbi	NG_055650.1	mecA-type methicillin resistance repressor MecI	METHICILLIN
GCA_000009645.1_ASM964v1_genomic.fna	BA000018.3	56002	56733	+	erm(A)	1-732/732	===============	0/0	100.00	100.00	ncbi	NG_047789.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	MACROLIDE
GCA_000009645.1_ASM964v1_genomic.fna	BA000018.3	56859	57641	-	ant(9)-Ia	1-783/783	===============	0/0	100.00	100.00	ncbi	NG_047397.1	aminoglycoside nucleotidyltransferase ANT(9)-Ia	SPECTINOMYCIN
GCA_000009645.1_ASM964v1_genomic.fna	BA000018.3	151640	152992	+	tet(38)	1-1353/1353	===============	0/0	100.00	100.00	ncbi	NG_048133.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
GCA_000009645.1_ASM964v1_genomic.fna	BA000018.3	870517	871299	+	ant(9)-Ia	1-783/783	===============	0/0	100.00	100.00	ncbi	NG_047397.1	aminoglycoside nucleotidyltransferase ANT(9)-Ia	SPECTINOMYCIN
GCA_000009645.1_ASM964v1_genomic.fna	BA000018.3	871425	872156	-	erm(A)	1-732/732	===============	0/0	100.00	100.00	ncbi	NG_047789.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	MACROLIDE
GCA_000009645.1_ASM964v1_genomic.fna	BA000018.3	1685864	1686595	+	erm(A)	1-732/732	===============	0/0	100.00	100.00	ncbi	NG_047789.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	MACROLIDE
