FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_000006765.1.fasta	NC_002516.2	779463	780101	-	catB7	1-639/639	===============	0/0	100.00	100.00	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000006765.1.fasta	NC_002516.2	1221691	1222098	+	fosA-354827590	1-408/408	===============	0/0	100.00	99.51	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000006765.1.fasta	NC_002516.2	4594029	4595251	+	blaPDC-374	1-1215/1215	========/======	1/8	100.00	99.02	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000006765.1.fasta	NC_002516.2	4607578	4608384	-	aph(3')-IIb	1-807/807	===============	0/0	100.00	100.00	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000006765.1.fasta	NC_002516.2	6207241	6208029	+	blaOXA-50	1-789/789	===============	0/0	100.00	99.87	ncbi	NG_049777.1	oxacillin-hydrolyzing class D beta-lactamase OXA-50	BETA-LACTAM
GCA_000012245.1.fasta	NC_007005.1	3240584	3241411	+	aph(3'')-Ib	1-828/828	===============	0/0	100.00	99.88	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
GCA_000012245.1.fasta	NC_007005.1	3241411	3242247	+	aph(6)-Id	1-837/837	===============	0/0	100.00	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
GCA_000014625.1.fasta	NC_008463.1	919472	920275	+	aph(3')-IIb	1-807/807	========/======	1/3	99.63	99.13	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000014625.1.fasta	NC_008463.1	932631	933824	-	blaPDC-34	1-1194/1194	===============	0/0	100.00	100.00	ncbi	NG_049906.1	class C beta-lactamase PDC-34	CEPHALOSPORIN
GCA_000014625.1.fasta	NC_008463.1	4427833	4428240	-	fosA-354827590	1-408/408	===============	0/0	100.00	99.51	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000014625.1.fasta	NC_008463.1	4900296	4900934	+	catB7	1-639/639	===============	0/0	100.00	98.28	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000014625.1.fasta	NC_008463.1	5267285	5267482	+	crpP	1-198/198	===============	0/0	100.00	98.48	ncbi	NG_062203.1	ciprofloxacin resistance protein CrpP	FLUOROQUINOLONE
GCA_000014625.1.fasta	NC_008463.1	6480480	6481268	+	blaOXA-488	1-789/789	===============	0/0	100.00	100.00	ncbi	NG_049768.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-488	BETA-LACTAM
GCA_000017205.1.fasta	NC_009656.1	973212	974018	+	aph(3')-IIb	1-807/807	===============	0/0	100.00	88.10	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000017205.1.fasta	NC_009656.1	987337	988530	-	blaPDC-33	1-1194/1194	===============	0/0	100.00	100.00	ncbi	NG_049905.1	class C beta-lactamase PDC-33	CEPHALOSPORIN
GCA_000017205.1.fasta	NC_009656.1	3856321	3857163	-	aph(6)-Ic	1-843/843	===============	0/0	100.00	100.00	ncbi	NG_047463.1	aminoglycoside O-phosphotransferase APH(6)-Ic	STREPTOMYCIN
GCA_000017205.1.fasta	NC_009656.1	3857160	3857540	-	ble_Tn5	1-381/381	===============	0/0	100.00	100.00	ncbi	NG_047555.1	bleomycin binding protein BLMT	BLEOMYCIN
GCA_000017205.1.fasta	NC_009656.1	3857561	3858355	-	aph(3')-IIa	1-795/795	===============	0/0	100.00	100.00	ncbi	NG_047417.1	aminoglycoside O-phosphotransferase APH(3')-IIa	KANAMYCIN
GCA_000017205.1.fasta	NC_009656.1	3860815	3861369	-	aac(6')-Ib-G	1-555/555	===============	0/0	100.00	100.00	ncbi	NG_051697.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	GENTAMICIN
GCA_000017205.1.fasta	NC_009656.1	3871230	3872405	-	cmx	1-1176/1176	===============	0/0	100.00	100.00	ncbi	NG_047664.1	chloramphenicol efflux MFS transporter Cmx	CHLORAMPHENICOL
GCA_000017205.1.fasta	NC_009656.1	4594508	4594705	+	crpP	1-198/198	===============	0/0	100.00	98.48	ncbi	NG_062203.1	ciprofloxacin resistance protein CrpP	FLUOROQUINOLONE
GCA_000017205.1.fasta	NC_009656.1	4930579	4931200	+	catB7	1-623/639	========/======	1/1	97.34	86.36	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000017205.1.fasta	NC_009656.1	5503065	5503892	+	aph(3'')-Ib	1-828/828	===============	0/0	100.00	99.88	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
GCA_000017205.1.fasta	NC_009656.1	5503892	5504728	+	aph(6)-Id	1-837/837	===============	0/0	100.00	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
GCA_000017205.1.fasta	NC_009656.1	5508935	5509786	-	sul1	1-852/852	===============	0/0	100.00	100.00	ncbi	NG_048083.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCA_000017205.1.fasta	NC_009656.1	6533247	6534033	+	blaOXA-395	1-787/789	===============	0/0	99.75	87.04	ncbi	NG_049684.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-395	BETA-LACTAM
GCA_000026645.1.fasta	NC_011770.1	926872	927675	+	aph(3')-IIb	1-807/807	========/======	1/3	99.63	98.89	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000026645.1.fasta	NC_011770.1	940002	941224	-	blaPDC-374	1-1215/1215	========/======	1/8	100.00	98.86	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000026645.1.fasta	NC_011770.1	4625247	4625654	-	fosA-354827590	1-408/408	===============	0/0	100.00	99.75	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000026645.1.fasta	NC_011770.1	5075462	5076082	+	catB7	1-639/639	========/======	1/18	97.18	96.56	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000026645.1.fasta	NC_011770.1	6543373	6544161	+	blaOXA-50	1-789/789	===============	0/0	100.00	99.87	ncbi	NG_049777.1	oxacillin-hydrolyzing class D beta-lactamase OXA-50	BETA-LACTAM
GCA_000168335.1.fasta	NZ_AAQW01000001.1	983976	984173	-	crpP	1-198/198	===============	0/0	100.00	98.99	ncbi	NG_062203.1	ciprofloxacin resistance protein CrpP	FLUOROQUINOLONE
GCA_000168335.1.fasta	NZ_AAQW01000001.1	1354187	1354825	-	catB7	1-639/639	===============	0/0	100.00	99.69	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000168335.1.fasta	NZ_AAQW01000001.1	1793441	1793848	+	fosA-354827590	1-408/408	===============	0/0	100.00	99.75	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000168335.1.fasta	NZ_AAQW01000001.1	5279943	5281165	+	blaPDC-374	1-1215/1215	========/======	1/8	100.00	98.77	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000168335.1.fasta	NZ_AAQW01000001.1	5293492	5294298	-	aph(3')-IIb	1-807/807	===============	0/0	100.00	99.01	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000168335.1.fasta	NZ_AAQW01000001.1	6435238	6436026	+	blaOXA-905	1-789/789	===============	0/0	100.00	99.49	ncbi	NG_068024.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-905	BETA-LACTAM
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	784376	785014	-	catB7	1-639/639	===============	0/0	100.00	99.37	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	1225207	1225614	+	fosA-354827590	1-408/408	===============	0/0	100.00	99.75	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	2908908	2909738	-	blaSPM-1	1-831/831	===============	0/0	100.00	100.00	ncbi	NG_050140.1	subclass B1 metallo-beta-lactamase SPM-1	CARBAPENEM
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	3149740	3150915	+	cmx	1-1176/1176	===============	0/0	100.00	100.00	ncbi	NG_047664.1	chloramphenicol efflux MFS transporter Cmx	CHLORAMPHENICOL
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	3152050	3152889	-	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	3157893	3158636	+	rmtD1	1-744/744	===============	0/0	100.00	100.00	ncbi	NG_048061.1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtD1	AMINOGLYCOSIDE
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	3160866	3161747	-	sul1	1-882/882	===============	0/0	100.00	100.00	ncbi	NG_048098.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	3170304	3170858	+	aac(6')-Ib'	1-555/555	===============	0/0	100.00	100.00	ncbi	NG_051695.1	aminoglycoside N-acetyltransferase AAC(6')-Ib'	GENTAMICIN
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	3170939	3171739	+	blaOXA-56	1-801/801	===============	0/0	100.00	100.00	ncbi	NG_049796.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-56	BETA-LACTAM
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	3171801	3172598	+	aadA7	1-798/798	===============	0/0	100.00	100.00	ncbi	NG_047365.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA7	STREPTOMYCIN
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	4947419	4948641	+	blaPDC-374	1-1215/1215	========/======	1/8	100.00	98.77	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	4960968	4961774	-	aph(3')-IIb	1-807/807	===============	0/0	100.00	99.26	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	5457084	5457281	+	crpP	1-198/198	===============	0/0	100.00	98.99	ncbi	NG_062203.1	ciprofloxacin resistance protein CrpP	FLUOROQUINOLONE
GCA_000223945.2.fasta	NZ_AFXJ01000001.1	6672561	6673349	+	blaOXA-494	1-789/789	===============	0/0	100.00	99.87	ncbi	NG_049773.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-494	BETA-LACTAM
GCA_000223965.2.fasta	NZ_AFXK01000001.1	784555	785193	-	catB7	1-639/639	===============	0/0	100.00	99.37	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000223965.2.fasta	NZ_AFXK01000001.1	1264824	1265231	+	fosA-354827590	1-408/408	===============	0/0	100.00	99.75	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000223965.2.fasta	NZ_AFXK01000001.1	2935593	2936423	-	blaSPM-1	1-831/831	===============	0/0	100.00	100.00	ncbi	NG_050140.1	subclass B1 metallo-beta-lactamase SPM-1	CARBAPENEM
GCA_000223965.2.fasta	NZ_AFXK01000001.1	3163043	3164218	+	cmx	1-1176/1176	===============	0/0	100.00	100.00	ncbi	NG_047664.1	chloramphenicol efflux MFS transporter Cmx	CHLORAMPHENICOL
GCA_000223965.2.fasta	NZ_AFXK01000001.1	3165353	3166192	-	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCA_000223965.2.fasta	NZ_AFXK01000001.1	3171196	3171939	+	rmtD1	1-744/744	===============	0/0	100.00	100.00	ncbi	NG_048061.1	16S rRNA (guanine(1405)-N(7))-methyltransferase RmtD1	AMINOGLYCOSIDE
GCA_000223965.2.fasta	NZ_AFXK01000001.1	3174169	3175051	-	sul1	1-882/882	========/======	1/1	100.00	99.89	ncbi	NG_048098.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCA_000223965.2.fasta	NZ_AFXK01000001.1	3176931	3177728	-	aadA7	1-798/798	===============	0/0	100.00	100.00	ncbi	NG_047365.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA7	STREPTOMYCIN
GCA_000223965.2.fasta	NZ_AFXK01000001.1	3177790	3178590	-	blaOXA-56	1-801/801	===============	0/0	100.00	100.00	ncbi	NG_049796.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-56	BETA-LACTAM
GCA_000223965.2.fasta	NZ_AFXK01000001.1	3178671	3179225	-	aac(6')-Ib'	1-555/555	===============	0/0	100.00	100.00	ncbi	NG_051695.1	aminoglycoside N-acetyltransferase AAC(6')-Ib'	GENTAMICIN
GCA_000223965.2.fasta	NZ_AFXK01000001.1	4924202	4925424	+	blaPDC-374	1-1215/1215	========/======	1/8	100.00	98.77	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000223965.2.fasta	NZ_AFXK01000001.1	4937751	4938557	-	aph(3')-IIb	1-807/807	===============	0/0	100.00	99.26	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000223965.2.fasta	NZ_AFXK01000001.1	5433930	5434127	+	crpP	1-198/198	===============	0/0	100.00	98.99	ncbi	NG_062203.1	ciprofloxacin resistance protein CrpP	FLUOROQUINOLONE
GCA_000223965.2.fasta	NZ_AFXK01000001.1	6648808	6649596	+	blaOXA-494	1-789/789	===============	0/0	100.00	99.87	ncbi	NG_049773.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-494	BETA-LACTAM
GCA_000226155.1.fasta	NC_017548.1	900935	901740	+	aph(3')-IIb	1-807/807	========/======	1/1	99.88	99.38	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000226155.1.fasta	NC_017548.1	914067	915289	-	blaPDC-374	1-1215/1215	========/======	1/8	100.00	98.69	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000226155.1.fasta	NC_017548.1	4336054	4336461	-	fosA-354827590	1-408/408	===============	0/0	100.00	98.78	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000226155.1.fasta	NC_017548.1	4774055	4774693	+	catB7	1-639/639	===============	0/0	100.00	97.81	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000226155.1.fasta	NC_017548.1	6262196	6262984	+	blaOXA-905	1-789/789	===============	0/0	100.00	99.75	ncbi	NG_068024.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-905	BETA-LACTAM
GCA_000271365.1.fasta	NC_018080.1	817223	818442	-	blaPDC-374	1-1215/1215	========/======	2/11	99.75	98.69	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000271365.1.fasta	NC_018080.1	4319909	4320316	-	fosA-354827590	1-408/408	===============	0/0	100.00	99.02	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000271365.1.fasta	NC_018080.1	4743571	4744209	+	catB7	1-639/639	===============	0/0	100.00	99.53	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000271365.1.fasta	NC_018080.1	5114585	5114782	+	crpP	1-198/198	===============	0/0	100.00	95.96	ncbi	NG_062203.1	ciprofloxacin resistance protein CrpP	FLUOROQUINOLONE
GCA_000271365.1.fasta	NC_018080.1	6344318	6345106	+	blaOXA-494	1-789/789	===============	0/0	100.00	99.87	ncbi	NG_049773.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-494	BETA-LACTAM
GCA_000271985.2.fasta	NZ_CP015877.1	118494	119716	+	blaPDC-374	1-1215/1215	========/======	1/8	100.00	98.94	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000271985.2.fasta	NZ_CP015877.1	132041	132847	-	aph(3')-IIb	1-807/807	===============	0/0	100.00	99.01	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000271985.2.fasta	NZ_CP015877.1	1074271	1075059	-	blaOXA-486	1-789/789	===============	0/0	100.00	100.00	ncbi	NG_050612.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-486	BETA-LACTAM
GCA_000271985.2.fasta	NZ_CP015877.1	2562128	2562766	-	catB7	1-639/639	===============	0/0	100.00	97.81	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000271985.2.fasta	NZ_CP015877.1	3006227	3006634	+	fosA-354827590	1-408/408	===============	0/0	100.00	99.02	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000284555.1.fasta	NC_017549.1	1507217	1507855	-	catB7	1-639/639	===============	0/0	100.00	98.75	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000284555.1.fasta	NC_017549.1	1890849	1891709	-	blaTEM-1	1-861/861	===============	0/0	100.00	100.00	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
GCA_000284555.1.fasta	NC_017549.1	1895151	1895891	+	blaIMP-1	1-741/741	===============	0/0	100.00	100.00	ncbi	NG_049172.1	subclass B1 metallo-beta-lactamase IMP-1	CARBAPENEM
GCA_000284555.1.fasta	NC_017549.1	1896045	1896596	+	aac(6')-Iae	1-552/552	===============	0/0	100.00	100.00	ncbi	NG_047277.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iae	AMINOGLYCOSIDE
GCA_000284555.1.fasta	NC_017549.1	1896671	1897462	+	aadA1	1-792/792	===============	0/0	100.00	99.75	ncbi	NG_052247.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	STREPTOMYCIN
GCA_000284555.1.fasta	NC_017549.1	1897967	1898806	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCA_000284555.1.fasta	NC_017549.1	2158117	2158524	+	fosA-354827590	1-408/408	===============	0/0	100.00	99.02	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000284555.1.fasta	NC_017549.1	5688816	5690038	+	blaPDC-374	1-1215/1215	========/======	1/8	100.00	98.77	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000284555.1.fasta	NC_017549.1	5702365	5703171	-	aph(3')-IIb	1-807/807	===============	0/0	100.00	98.76	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000284555.1.fasta	NC_017549.1	6698661	6699449	+	blaOXA-488	1-789/789	===============	0/0	100.00	99.87	ncbi	NG_049768.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-488	BETA-LACTAM
GCA_000325725.1.fasta	NC_019906.1	3639	4477	-	sul1	14-852/852	===============	0/0	98.47	100.00	ncbi	NG_048083.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCA_000325725.1.fasta	NC_019906.1	7940	9139	+	tet(A)	1-1200/1200	===============	0/0	100.00	100.00	ncbi	NG_048156.1	tetracycline efflux MFS transporter Tet(A)	TETRACYCLINE
GCA_000325725.1.fasta	NC_019906.1	11768	12583	+	sul2	1-816/816	===============	0/0	100.00	99.88	ncbi	NG_048118.1	sulfonamide-resistant dihydropteroate synthase Sul2	SULFONAMIDE
GCA_000325725.1.fasta	NC_019906.1	12954	13790	-	aph(6)-Id	1-837/837	===============	0/0	100.00	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
GCA_000325725.1.fasta	NC_019906.1	13790	14617	-	aph(3'')-Ib	1-828/828	===============	0/0	100.00	99.88	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
GCA_000325725.1.fasta	NC_019906.1	15894	16709	-	aph(3')-Ia	1-816/816	===============	0/0	100.00	100.00	ncbi	NG_047431.1	aminoglycoside O-phosphotransferase APH(3')-Ia	KANAMYCIN
GCA_000325725.1.fasta	NC_019906.1	29026	29865	-	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCA_000325725.1.fasta	NC_019906.1	30398	31657	-	cmlA5	1-1260/1260	===============	0/0	100.00	100.00	ncbi	NG_051436.1	chloramphenicol efflux MFS transporter CmlA5	CHLORAMPHENICOL
GCA_000325725.1.fasta	NC_019906.1	31879	32670	-	aadA1	1-792/792	===============	0/0	100.00	99.87	ncbi	NG_052230.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	STREPTOMYCIN
GCA_000325725.1.fasta	NC_019906.1	32740	33294	-	aac(6')-Ib-G	1-555/555	===============	0/0	100.00	99.82	ncbi	NG_052361.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	GENTAMICIN
GCA_000325725.1.fasta	NC_019906.1	33402	34202	-	blaVIM-1	1-801/801	===============	0/0	100.00	100.00	ncbi	NG_050336.1	subclass B1 metallo-beta-lactamase VIM-1	CARBAPENEM
GCA_000325725.1.fasta	NC_019906.1	62441	63353	+	blaAER-1	2-915/915	========/======	1/1	99.78	93.11	ncbi	NG_048688.1	carbenicillin-hydrolyzing class A beta-lactamase AER-1	BETA-LACTAM
GCA_000325725.1.fasta	NC_019906.1	73817	74350	+	ant(2'')-Ia	1-534/534	===============	0/0	100.00	100.00	ncbi	NG_047387.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	GENTAMICIN;KANAMYCIN;TOBRAMYCIN
GCA_000359505.1.fasta	NC_020912.1	881061	881867	+	aph(3')-IIb	1-807/807	===============	0/0	100.00	99.01	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000359505.1.fasta	NC_020912.1	894097	895319	-	blaPDC-374	1-1215/1215	========/======	1/8	100.00	98.77	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000359505.1.fasta	NC_020912.1	4318495	4318902	-	fosA-354827590	1-408/408	===============	0/0	100.00	99.02	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000359505.1.fasta	NC_020912.1	4778651	4779289	+	catB7	1-639/639	===============	0/0	100.00	98.75	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000359505.1.fasta	NC_020912.1	5144188	5144385	+	crpP	1-198/198	===============	0/0	100.00	97.98	ncbi	NG_062203.1	ciprofloxacin resistance protein CrpP	FLUOROQUINOLONE
GCA_000359505.1.fasta	NC_020912.1	6363840	6364627	+	blaOXA-488	1-789/789	========/======	1/1	99.87	99.87	ncbi	NG_049768.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-488	BETA-LACTAM
GCA_000410575.1.fasta	NC_021491.1	3470910	3471737	+	aph(3'')-Ib	1-828/828	===============	0/0	100.00	99.88	ncbi	NG_056002.2	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
GCA_000410575.1.fasta	NC_021491.1	3471737	3472574	+	aph(6)-Id	1-837/837	========/======	1/1	100.00	99.88	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
GCA_000414035.1.fasta	NC_021577.1	757423	758061	-	catB7	1-639/639	===============	0/0	100.00	99.69	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
GCA_000414035.1.fasta	NC_021577.1	1107556	1107753	-	crpP	1-198/198	===============	0/0	100.00	98.99	ncbi	NG_062203.1	ciprofloxacin resistance protein CrpP	FLUOROQUINOLONE
GCA_000414035.1.fasta	NC_021577.1	1282055	1282462	+	fosA-354827590	1-408/408	===============	0/0	100.00	99.02	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000414035.1.fasta	NC_021577.1	4659537	4660759	+	blaPDC-374	1-1215/1215	========/======	1/8	100.00	98.94	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000414035.1.fasta	NC_021577.1	4673086	4673892	-	aph(3')-IIb	1-807/807	===============	0/0	100.00	98.76	ncbi	NG_047423.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000414035.1.fasta	NC_021577.1	6283661	6284449	+	blaOXA-50	1-789/789	===============	0/0	100.00	100.00	ncbi	NG_049777.1	oxacillin-hydrolyzing class D beta-lactamase OXA-50	BETA-LACTAM
GCA_000496455.2.fasta	NZ_CP013993.1	972319	973125	+	aph(3')-IIb	1-807/807	===============	0/0	100.00	99.38	ncbi	NG_047424.1	aminoglycoside O-phosphotransferase APH(3')-IIb	KANAMYCIN
GCA_000496455.2.fasta	NZ_CP013993.1	985452	986674	-	blaPDC-374	1-1215/1215	========/======	1/8	100.00	98.94	ncbi	NG_065926.1	class C beta-lactamase PDC-374	CEPHALOSPORIN
GCA_000496455.2.fasta	NZ_CP013993.1	4739237	4739644	-	fosA-354827590	1-408/408	===============	0/0	100.00	99.51	ncbi	NG_047883.1	FosA family fosfomycin resistance glutathione transferase	FOSFOMYCIN
GCA_000496455.2.fasta	NZ_CP013993.1	5027470	5027667	+	crpP	1-198/198	===============	0/0	100.00	94.95	ncbi	NG_062203.1	ciprofloxacin resistance protein CrpP	FLUOROQUINOLONE
GCA_000496455.2.fasta	NZ_CP013993.1	5423757	5424290	+	ant(2'')-Ia	1-534/534	===============	0/0	100.00	99.81	ncbi	NG_052363.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	GENTAMICIN;KANAMYCIN;TOBRAMYCIN
GCA_000496455.2.fasta	NZ_CP013993.1	5424788	5425627	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCA_000496455.2.fasta	NZ_CP013993.1	5478503	5479141	+	catB7	1-639/639	===============	0/0	100.00	99.53	ncbi	NG_047614.1	type B-4 chloramphenicol O-acetyltransferase CatB7	CHLORAMPHENICOL
