Biosample	contig	Genus	Species	predicted_mobility	Total_Size	Relaxase	PCN	percen	Total_DNA_bases	Plasmid_family	rep_type.s.	Multiple_replicons	Length_chr	gc	Number_plasmids	Locus	percen_tamaño	megaplasmid	Plasmid_type	Plasmid_type_curated	z_scores	Predicted_ptu
GCA_000144955	CP002115.1	Staphylococcus	Staphylococcus aureus	mobilizable	20730	MOBV	1.23334581266181	0.907068180967598	25567.2586964794	rep_cluster_1733	rep_cluster_1733,rep_cluster_2214	Multiple replicons	2818670	0.28359864930053064	1	plasmid	0.7354532456797	No	rep16, rep5a	rep16, rep5a	-0.603726563903943	PTU-Bac18
GCA_001018645	CP026965.1	Staphylococcus	Staphylococcus aureus	mobilizable	5153	No MOB	4.86689752780956	0.89568200322652	25079.1229608027	rep_cluster_1733	rep_cluster_1733	Single replicons	2800003	0.29963128274791384	3	plasmid	0.184035517104803	No	rep16	rep16	-0.606523206650116	PTU-Bac18
GCA_001018645	CP026966.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	1518	No MOB	5.02584228799738	0.272472157821974	7629.22859318002	Unknown	-	Single replicons	2800003	0.2707509881422925	3	plasmid	0.0542142276276132	No	NA	-	-0.759594354240482	PTU-Bac18
GCA_001018645	CP026967.1	Staphylococcus	Staphylococcus aureus	mobilizable	3319	MOBV	4.96302328126327	0.588294879345229	16472.2742705128	Unknown	-	Single replicons	2800003	0.27568544742392287	3	plasmid	0.118535587283299	No	NA	-	-0.682022815897252	PTU-Bac18
GCA_001018655	CP026963.1	Staphylococcus	Staphylococcus aureus	conjugative	61643	Multiple MOB	2.67821149312553	6.11989540023579	165092.991070737	rep_cluster_1017	rep_cluster_1017,rep_cluster_1018,rep_cluster_1142,rep_cluster_1281	Multiple replicons	2697644	0.30159142157260355	1	plasmid	2.28506800749098	No	rep13, rep21, repUS12, rep5d, rep5d, rep15	rep13, rep21, repUS12, rep5d, rep5d, rep15	0.676634217504622	PTU-Bac44
GCA_001018735	CP026081.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	28102	No MOB	4.23398665961353	4.41065127698505	118983.49310846	rep_cluster_1017	rep_cluster_1017,rep_cluster_1215	Multiple replicons	2697640	0.33538538182335775	1	plasmid	1.04172535994425	No	rep20	rep20	0.256814214038146	PTU-Bac42
GCA_001018835	CP026065.1	Staphylococcus	Staphylococcus aureus	mobilizable	45039	MOBV	2.73459604185165	4.34590200080016	123163.471128957	rep_cluster_1017	rep_cluster_1017,rep_cluster_1215,rep_cluster_2214	Multiple replicons	2834014	0.30962055107795466	1	plasmid	1.58922997557528	No	rep5a, rep20	rep5a, rep20	0.240910668732579	-
GCA_001019205	CP026954.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	6318	No MOB	3.090574204279	0.688859805178369	19526.2478226348	Unknown	-	Single replicons	2834575	0.25941753719531496	3	plasmid	0.222890556785409	No	NA	-	-0.657322325816537	PTU-Bac22
GCA_001019205	CP026955.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	4341	No MOB	2.54755177903121	0.39014392890555	11058.9222727745	Unknown	-	Single replicons	2834575	0.30960608154803043	3	plasmid	0.153144651314571	No	NA	-	-0.730692126248462	PTU-Bac43
GCA_001019205	CP026956.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	2117	No MOB	2.75019042242718	0.205397744786373	5822.15312427833	Unknown	-	Single replicons	2834575	0.2805857345299953	3	plasmid	0.0746849174920403	No	NA	-	-0.776068993486023	PTU-Bac22
GCA_001019255	CP026969.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	9124	No MOB	3.1936659935064	1.02601492401641	29139.0085247523	rep_cluster_2176	rep_cluster_2176	Single replicons	2840018	0.2855107409031127	4	plasmid	0.321265569443574	No	rep20	rep20	-0.574511180682904	PTU-Bac22
GCA_001019255	CP026970.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	1219	No MOB	7.97071091713518	0.342120951627341	9716.29660798778	Unknown	-	Single replicons	2840018	0.3133716160787531	4	plasmid	0.0429222631687546	No	NA	-	-0.742487402425317	-
GCA_001019255	CP026971.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	1641	No MOB	3.17825602878995	0.183643841103976	5215.51814324431	Unknown	-	Single replicons	2840018	0.2809262644728824	4	plasmid	0.0577813239211864	No	NA	-	-0.781412129551329	PTU-Bac22
GCA_001019255	CP026972.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	3466	No MOB	3.119938221698	0.380761878143212	10813.7058764053	rep_cluster_1733	rep_cluster_1733	Single replicons	2840018	0.2911136757068667	4	plasmid	0.122041480018789	No	rep16, rep16	rep16, rep16	-0.732996520647125	PTU-Bac42
GCA_001019275	CP026078.1	Staphylococcus	Staphylococcus aureus	conjugative	31954	MOBQ	4.04766901139392	4.79545291574061	129339.215590081	Unknown	-	Single replicons	2697122	0.28400200287913874	1	plasmid	1.18474433117968	No	NA	-	0.351328170891204	PTU-Bac44
GCA_001019495	CP026959.1	Staphylococcus	Staphylococcus aureus	mobilizable	10825	MOBQ	1.85790681370476	0.698690509773441	20111.841258354	rep_cluster_1215	rep_cluster_1215	Single replicons	2878505	0.28554272517321017	1	plasmid	0.376063268953849	No	rep20, repUS70	rep20, repUS70	-0.654907734254665	-
GCA_001019575	CP026075.1	Staphylococcus	Staphylococcus aureus	mobilizable	23690	No MOB	2.31983003125259	1.90973582661993	54956.7734403738	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	Multiple replicons	2877716	0.3375685943436049	1	plasmid	0.823222305467253	No	rep21, rep20	rep21, rep20	-0.357453998886773	PTU-Bac42
GCA_001183705	CP012118.2	Staphylococcus	Staphylococcus aureus	mobilizable	27043	No MOB	4.26335313883449	3.95114638812403	115293.858933501	rep_cluster_1017	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	Multiple replicons	2917985	0.30543948526420883	2	plasmid	0.926769671537037	No	rep16, rep19	rep16, rep19	0.143951843233202	PTU-Bac17
GCA_001183705	CP025490.1	Staphylococcus	Staphylococcus aureus	mobilizable	3269	No MOB	33.2970187307882	3.73024378915404	108847.954230947	rep_cluster_1017	rep_cluster_1017	Single replicons	2917985	0.2921382685836647	2	plasmid	0.112029362728047	No	rep21	rep21	0.0896943333761796	PTU-Bac16
GCA_001183725	CP012121.2	Staphylococcus	Staphylococcus aureus	conjugative	61539	MOBP	1.98582885143624	4.26645259871052	122205.921688535	rep_cluster_1017	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100,rep_cluster_765	Multiple replicons	2864345	0.2953574156226133	2	plasmid	2.14844929643601	No	rep16, rep19	rep16, rep19	0.221396517531493	PTU-Bac17
GCA_001183725	CP025489.1	Staphylococcus	Staphylococcus aureus	mobilizable	3269	No MOB	29.2182806167706	3.33460387405229	95514.5593362231	rep_cluster_1017	rep_cluster_1017	Single replicons	2864345	0.2921382685836647	2	plasmid	0.114127313574308	No	rep21	rep21	-0.00748169213713294	PTU-Bac16
