FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_000017425.1.fasta	NC_009674.1	1641050	1641457	+	fosBx1	10-417/417	===============	0/0	97.84	81.62	ncbi	NG_050591.1	fosfomycin resistance bacillithiol transferase FosBx1	FOSFOMYCIN
GCA_000209795.2.fasta	NC_017196.2	271070	271990	+	mphK	1-921/921	===============	0/0	100.00	98.05	ncbi	NG_065846.1	macrolide 2'-phosphotransferase MphK	MACROLIDE
GCA_000209795.2.fasta	NC_017196.2	602059	603705	-	vmlR	1-1644/1644	========/======	1/3	100.00	98.00	ncbi	NG_063831.1	ABC-F type ribosomal protection protein VmlR	LINCOSAMIDE;STREPTOGRAMIN;TIAMULIN
GCA_000209795.2.fasta	NC_017196.2	2496753	2497607	-	aadK	1-855/855	===============	0/0	100.00	98.83	ncbi	NG_047379.1	aminoglycoside 6-adenylyltransferase AadK	STREPTOMYCIN
GCA_000209795.2.fasta	NC_017196.2	4074049	4074570	-	satA_Bs	1-522/522	===============	0/0	100.00	95.02	ncbi	NG_064662.1	streptothricin N-acetyltransferase SatA	STREPTOTHRICIN
GCA_000242895.3.fasta	NC_021171.1	2924225	2926839	-	rphC	1-2606/2607	========/======	7/19	99.77	83.09	ncbi	NG_063825.1	rifamycin-inactivating phosphotransferase RphC	RIFAMYCIN
GCA_000295695.2.fasta	NZ_CP047131.1	952901	953488	+	vanZ-F	21-605/621	========/======	1/3	94.20	83.33	ncbi	NG_048535.1	glycopeptide resistance protein VanZ-F	VANCOMYCIN
GCA_000295695.2.fasta	NZ_CP047131.1	1482137	1483048	-	mphL	1-912/912	===============	0/0	100.00	91.12	ncbi	NG_055768.1	macrolide 2'-phosphotransferase MphL	MACROLIDE
GCA_000295695.2.fasta	NZ_CP047131.1	1903425	1903840	+	fosB_gen	1-416/417	===============	0/0	99.76	87.50	ncbi	NG_055636.1	FosB/FosD family fosfomycin resistance bacillithiol transferase	FOSFOMYCIN
GCA_000295695.2.fasta	NZ_CP047131.1	2314868	2315797	+	bla1	1-930/930	===============	0/0	100.00	100.00	ncbi	NG_055637.1	class A beta-lactamase Bla1	BETA-LACTAM
GCA_000295695.2.fasta	NZ_CP047131.1	2919973	2920527	+	satA_Ba	1-555/555	===============	0/0	100.00	100.00	ncbi	NG_064661.1	streptothricin N-acetyltransferase SatA	STREPTOTHRICIN
GCA_000295695.2.fasta	NZ_CP047131.1	3203446	3204216	-	BcII	1-771/771	===============	0/0	100.00	100.00	ncbi	NG_047220.1	BcII family subclass B1 metallo-beta-lactamase	CARBAPENEM
GCA_000295695.2.fasta	NZ_CP047131.1	3762994	3763414	+	fosB2	1-420/420	========/======	1/1	100.00	99.76	ncbi	NG_050411.1	fosfomycin resistance bacillithiol transferase FosB2	FOSFOMYCIN
GCA_000299555.2.fasta	NZ_CP039020.1	1148202	1148863	+	cat86	2-663/663	===============	0/0	99.85	91.69	ncbi	NG_047563.1	type A-6 chloramphenicol O-acetyltransferase Cat86	CHLORAMPHENICOL
GCA_000299555.2.fasta	NZ_CP039020.1	2312532	2313320	-	blaBPU-1	1-789/789	===============	0/0	100.00	86.06	ncbi	NG_050941.1	class D beta-lactamase BPU-1	BETA-LACTAM
GCA_000508125.2.fasta	NZ_CP049904.1	530870	531919	+	clbA	1-1050/1050	===============	0/0	100.00	97.14	ncbi	NG_062350.1	23S rRNA (adenine(2503)-C(8))-methyltransferase ClbA	LINCOSAMIDE;MACROLIDE;STREPTOGRAMIN
GCA_000508125.2.fasta	NZ_CP049904.1	1805055	1807651	+	rphC	1-2606/2607	========/======	4/23	99.35	80.60	ncbi	NG_063825.1	rifamycin-inactivating phosphotransferase RphC	RIFAMYCIN
GCA_000508125.2.fasta	NZ_CP049904.1	2525756	2527126	-	tet(L)	1-1377/1377	========/======	4/12	99.35	86.38	ncbi	NG_048204.1	tetracycline efflux MFS transporter Tet(L)	TETRACYCLINE
GCA_000508125.2.fasta	NZ_CP049904.1	2527335	2527856	-	satA_Bs	1-522/522	===============	0/0	100.00	85.06	ncbi	NG_064662.1	streptothricin N-acetyltransferase SatA	STREPTOTHRICIN
GCA_000534935.2.fasta	NZ_AP018443.1	956822	957409	+	vanZ-F	21-605/621	========/======	1/3	94.20	83.33	ncbi	NG_048535.1	glycopeptide resistance protein VanZ-F	VANCOMYCIN
GCA_000534935.2.fasta	NZ_AP018443.1	1486325	1487236	-	mphL	1-912/912	===============	0/0	100.00	91.12	ncbi	NG_055768.1	macrolide 2'-phosphotransferase MphL	MACROLIDE
GCA_000534935.2.fasta	NZ_AP018443.1	1907586	1908001	+	fosB_gen	1-416/417	===============	0/0	99.76	87.50	ncbi	NG_055636.1	FosB/FosD family fosfomycin resistance bacillithiol transferase	FOSFOMYCIN
GCA_000534935.2.fasta	NZ_AP018443.1	2319199	2320128	+	bla1	1-930/930	===============	0/0	100.00	100.00	ncbi	NG_055637.1	class A beta-lactamase Bla1	BETA-LACTAM
