Assembly	contig	coverage
GCA_000145845.2	NZ_CP047264.1	2812.071
GCA_000145845.2	NZ_CP047263.1	118.62236
GCA_000145845.2	NZ_CP047262.1	186.1868
GCA_000145845.2	NZ_CP047261.1	68.257195
GCA_000145845.2	NZ_CP047260.1	55.192863
GCA_000145945.2	NZ_CP042805.1	82.63362
GCA_000145945.2	NZ_CP042804.1	98.085304
GCA_000146005.2	NZ_CP031228.1	1777.8342
GCA_000146005.2	NZ_CP031227.1	1227.4677
GCA_000146005.2	NZ_CP031226.1	171.57983
GCA_000146005.2	NZ_CP031225.1	134.14934
GCA_000156995.2	NZ_CP046036.1	210.31631
GCA_000156995.2	NZ_CP046035.1	58.314854
GCA_000344475.3	NZ_CP032632.1	385.0164
GCA_000344475.3	NZ_CP032631.1	275.09705
GCA_000452445.3	NZ_CP034081.1	450.81076
GCA_000452445.3	NZ_CP034080.1	496.64078
GCA_000452445.3	NZ_CP034079.1	418.90216
GCA_000452445.3	NZ_CP034078.1	116.11043
GCA_000452525.4	NZ_CP045801.1	1034.836
GCA_000452525.4	NZ_CP045800.1	969.832
GCA_000452525.4	NZ_CP045799.1	718.1816
GCA_000648735.3	NZ_CP011972.2	80.66223
GCA_000648735.3	NZ_CP011973.1	107.75302
GCA_001679685.1	NZ_CP016215.1	463.83676
GCA_001679685.1	NZ_CP016214.1	463.39563
GCA_001913215.1	NZ_CP017008.1	61.27523
GCA_001913215.1	NZ_CP017007.1	113.652275
GCA_001913235.1	NZ_CP017011.1	120.08822
GCA_001913235.1	NZ_CP017010.1	123.00319
GCA_001913235.1	NZ_CP017009.1	96.13631
GCA_002355475.1	NZ_AP014863.1	124.86979
GCA_002355475.1	NZ_AP014862.1	44.06209
GCA_002355475.1	
GCA_002355475.1	
GCA_002356095.1	NZ_AP015033.1	286.71027
GCA_002356095.1	NZ_AP015032.1	207.8146
GCA_002356095.1	NZ_AP015031.1	94.11534
GCA_002356095.1	NZ_AP015030.1	386.75595
GCA_002356095.1	NZ_AP015029.1	88.43448
GCA_002943995.1	NZ_CP014062.1	577.98175
GCA_002943995.1	NZ_CP014061.1	872.1127
GCA_002966555.1	NZ_CP019874.1	6141.527
GCA_002966555.1	NZ_CP019873.1	8623.357
GCA_002966555.1	NZ_CP019872.1	7004.684
GCA_002966555.1	NZ_CP019871.1	3248.6138
GCA_002968655.1	NZ_CP027173.1	264.42563
GCA_002968655.1	NZ_CP027172.1	158.00377
GCA_002968695.1	NZ_CP027176.1	12.864815
GCA_002968695.1	NZ_CP027175.1	616.9604
GCA_002968695.1	NZ_CP027174.1	273.8933
GCA_002968755.1	NZ_CP027170.1	286.11826
GCA_002968755.1	NZ_CP027169.1	212.99226
GCA_002968755.1	NZ_CP027168.1	645.98645
GCA_002968755.1	NZ_CP027167.1	183.41849
GCA_003073695.1	NZ_CP029094.1	775.95013
GCA_003073695.1	NZ_CP029093.1	345.06165
GCA_003073695.1	NZ_CP029092.1	1658.1305
GCA_003073695.1	NZ_CP029091.1	609.94073
GCA_003073895.1	NZ_CP029097.1	414.02222
GCA_003073895.1	NZ_CP029096.1	418.17087
GCA_003073895.1	NZ_CP029095.1	8.159683
GCA_003571805.1	NZ_CP032257.1	78.97873
GCA_003571805.1	NZ_CP032256.1	127.14475
GCA_003812165.1	NZ_CP033773.1	21.526564
GCA_003812165.1	NZ_CP033772.1	22.797174
GCA_003812165.1	NZ_CP033771.1	654.4476
GCA_003813025.1	NZ_CP033835.1	332.3598
GCA_003813025.1	NZ_CP033834.1	2022.6042
GCA_005937845.2	NZ_CP042181.1	294.4392
GCA_005937845.2	NZ_CP042180.1	365.78635
GCA_005937945.2	NZ_CP041756.1	120.41889
GCA_005937945.2	NZ_CP041755.1	141.61748
GCA_005937945.2	NZ_CP041754.1	63.51265
GCA_008245185.1	NZ_CP042269.1	50.283047
GCA_008245185.1	NZ_CP042268.1	102.296524
GCA_008693825.1	NZ_CP044074.1	269.22205
GCA_008693825.1	NZ_CP044073.1	423.04926
GCA_008693825.1	NZ_CP044072.1	407.8525
GCA_008693825.1	
GCA_008693965.1	NZ_CP044088.1	14.315697
GCA_008693965.1	NZ_CP044087.1	844.459
GCA_008693965.1	NZ_CP044086.1	377.40533
GCA_008693965.1	NZ_CP044085.1	329.35406
GCA_008693965.1	NZ_CP044084.1	547.69214
GCA_009720405.1	NZ_CP039989.1	49.02546
GCA_009720405.1	NZ_CP039988.1	38.42908
GCA_009720425.1	NZ_CP039991.1	36.65808
GCA_009720425.1	NZ_CP039990.1	30.606192
GCA_009834565.1	NZ_CP019429.1	652.2304
GCA_009834565.1	NZ_CP019428.1	85.74931
GCA_011045375.1	NZ_CP049162.1	37.827774
GCA_011045375.1	NZ_CP049161.1	94.10545
GCA_013305845.1	NZ_CP050057.1	632.9726
GCA_013305845.1	NZ_CP050056.1	183.05127
GCA_013305845.1	NZ_CP050055.1	98.443306
GCA_013305845.1	NZ_CP050054.1	303.58987
GCA_013425825.1	NZ_CP059054.1	40.89756
GCA_013425825.1	NZ_CP059053.1	60.552086
GCA_013425825.1	NZ_CP059052.1	45.021782
GCA_014169055.1	NZ_AP022056.1	12852.153
GCA_014169055.1	NZ_AP022055.1	171.19753
GCA_014268495.2	NZ_CP077088.1	3479.091
GCA_014268495.2	NZ_CP077087.1	108.96004
GCA_014843515.1	NZ_CP062123.1	898.7924
GCA_014843515.1	NZ_CP062122.1	498.8095
GCA_015136515.1	NZ_AP022477.1	2069.5754
GCA_015136515.1	NZ_AP022476.1	256.85147
GCA_015136515.1	NZ_AP022475.1	150.19658
GCA_015136515.1	NZ_AP022474.1	298.8606
GCA_015136515.1	NZ_AP022473.1	108.690796
GCA_016772395.1	NZ_CP061946.1	49.527657
GCA_016772395.1	NZ_CP061945.1	49.5569
GCA_016772395.1	NZ_CP061944.1	121.76926
GCA_017167965.1	NZ_CP070504.1	395.19104
GCA_017167965.1	NZ_CP070503.1	637.7893
GCA_019443665.1	NZ_CP071949.1	139.78343
GCA_019443665.1	NZ_CP071948.1	146.61458
GCA_019443665.1	NZ_CP071947.1	85.23173
GCA_020204845.1	NZ_CP084215.1	160.43988
GCA_020204845.1	NZ_CP084214.1	105.434555
GCA_020204845.1	NZ_CP084213.1	62.07854
GCA_020204845.1	NZ_CP084212.1	35.001194
GCA_021654315.1	NZ_AP025274.1	118.00667
GCA_021654315.1	NZ_AP025273.1	37.805855
GCA_022569935.1	NZ_CP093017.1	180.46548
GCA_022569935.1	NZ_CP093016.1	39.27642
GCA_022570415.1	NZ_CP093029.1	92.25781
GCA_022570415.1	NZ_CP093028.1	132.55469
GCA_024205225.1	NZ_CP100554.1	218.40553
GCA_024205225.1	NZ_CP100553.1	89.245384
GCA_028403965.1	NZ_CP116716.1	962.8326
GCA_028403965.1	NZ_CP116715.1	121.44727
GCA_028404005.1	NZ_CP116719.1	91.16885
GCA_028404005.1	NZ_CP116718.1	95.099815
GCA_028404105.1	NZ_CP116726.1	75.18693
GCA_028404105.1	NZ_CP116725.1	113.31691
GCA_029961245.1	NZ_CP124623.1	99.336365
GCA_029961245.1	NZ_CP124622.1	69.87968
GCA_029961265.1	NZ_CP124625.1	144.00354
GCA_029961265.1	NZ_CP124624.1	49.91344
GCA_029961285.1	NZ_CP124631.1	32.863895
GCA_029961285.1	NZ_CP124630.1	33.530464
GCA_029961285.1	NZ_CP124629.1	40.208855
GCA_029961285.1	NZ_CP124628.1	39.15007
GCA_029961285.1	NZ_CP124627.1	57.512844
GCA_029961285.1	NZ_CP124626.1	76.63309
GCA_029961305.1	NZ_CP124640.1	12.862941
GCA_029961305.1	NZ_CP124639.1	118.847824
GCA_029961305.1	NZ_CP124638.1	45.5796
GCA_029961325.1	NZ_CP124637.1	190.29141
GCA_029961325.1	NZ_CP124636.1	47.197132
GCA_029961325.1	NZ_CP124635.1	38.78771
GCA_029961325.1	NZ_CP124634.1	78.792496
GCA_029961325.1	NZ_CP124633.1	60.239105
GCA_029961325.1	NZ_CP124632.1	100.56714
GCA_029961345.1	NZ_CP124642.1	146.77402
GCA_029961345.1	NZ_CP124641.1	49.439934
GCA_029961525.1	NZ_CP124647.1	9.5808325
GCA_029961525.1	NZ_CP124646.1	28.61912
GCA_029961565.1	NZ_CP124650.1	49.960796
GCA_029961565.1	NZ_CP124649.1	46.357548
GCA_029961625.1	NZ_CP124657.1	57.10491
GCA_029961625.1	NZ_CP124656.1	57.49362
GCA_029962145.1	NZ_CP124653.1	119.962814
GCA_029962145.1	NZ_CP124652.1	60.699116
GCA_029962165.1	NZ_CP124659.1	52.625835
GCA_029962165.1	NZ_CP124658.1	42.279305
GCA_029962185.1	NZ_CP124661.1	2983.0269
GCA_029962185.1	NZ_CP124660.1	54.56839
GCA_030252405.1	NZ_CP126993.1	103.46399
GCA_030252405.1	NZ_CP126992.1	64.38868
GCA_030252675.1	NZ_CP127051.1	34305.36
GCA_030252675.1	NZ_CP127050.1	578.387
GCA_030252675.1	NZ_CP127049.1	348.3959
GCA_030252675.1	NZ_CP127048.1	314.8902
GCA_030252675.1	NZ_CP127047.1	232.8253
GCA_030252675.1	NZ_CP127046.1	50.105953
GCA_030252675.1	NZ_CP127045.1	43.00194
GCA_030717425.1	NZ_CP132009.1	241.04346
GCA_030717425.1	NZ_CP132008.1	209.7132
GCA_030717425.1	NZ_CP132007.1	75.13086
GCA_031582985.1	NZ_CP134067.1	1016.1558
GCA_031582985.1	NZ_CP134066.1	483.70963
GCA_032463525.1	NZ_CP135972.1	45.280117
GCA_032463525.1	NZ_CP135971.1	60.006805
GCA_032810905.1	NZ_CP136505.1	976.4339
GCA_032810905.1	NZ_CP136504.1	426.41785
GCA_032812665.1	NZ_CP136507.1	1399.9364
GCA_032812665.1	NZ_CP136506.1	486.3655
GCA_949769235.1	NZ_OX458337.1	82.24805
GCA_949769235.1	NZ_OX458336.1	104.623695
GCA_949769235.1	NZ_OX458335.1	63.440598
