Assembly	contig coverage
GCA_000448685.2	NZ_CP013216.1	143.59143
GCA_001095405.3	NZ_OX244288.1	246.02422
GCA_001190805.1	NZ_CP011325.1	145.00801
GCA_001448985.1	NZ_CP013202.1	329.7053
GCA_001552035.1	CP012480.1	44.233234
GCA_001552035.1	CP012742.1	571.37445
GCA_001559175.2	NZ_CP014027.2	676.3068
GCA_001572685.1	CP012911.1	228.3479
GCA_001572685.1	CP012912.1	146.15279
GCA_001572685.1	CP012913.1	4169.715
GCA_001610935.1	NZ_CP012731.1	168.88454
GCA_001635895.1	NZ_CP013838.1	1164.3478
GCA_001932715.1	NZ_CP013908.1	914.18884
GCA_002073355.2	NZ_CP020433.2	1677.7205
GCA_002073435.2	NZ_CP020450.2	996.16144
GCA_002073695.2	NZ_CP020449.2	1171.2604
GCA_002073795.2	NZ_CP020432.1	1398.2703
GCA_002073815.2	CP020431.2	1051.598
GCA_002073815.2	CP020429.2	1023.99896
GCA_002073815.2	CP020430.1	285.87177
GCA_002073835.2	NZ_CP020451.2	1618.2653
GCA_002094955.1	NZ_CP015282.1	398.255
GCA_002197245.1	NZ_CP021865.1	213.97586
GCA_002197265.1	NZ_CP021864.1	268.26083
GCA_002197285.1	NZ_CP021866.1	255.70897
GCA_002197425.1	NZ_CP021863.1	293.84726
GCA_002214425.1	NZ_CP008813.1	66.40679
GCA_002236855.1	NZ_CP022206.1	118.15079
GCA_002236875.1	NZ_CP022354.1	252.60312
GCA_002285535.1	CP017088.1	65.56356
GCA_002285535.1	CP017089.1	219.63342
GCA_002285735.1	CP017092.1	64.548004
GCA_002285735.1	CP017093.1	79.837555
GCA_002355175.1	NZ_AP014596.1	39.77709
GCA_002386285.1	NZ_CP023511.1	1205.1935
GCA_002386345.1	NZ_CP023507.1	577.8914
GCA_003287995.1	NZ_CP021769.1	713.7012
GCA_003288015.1	NZ_CP021770.1	635.70447
GCA_003288035.1	NZ_CP021773.1	836.8061
GCA_003288055.1	NZ_CP021771.1	654.654
GCA_003609955.1	NZ_AP018337.1	225.66129
GCA_003609975.1	NZ_AP018400.1	0.03892841
GCA_003640605.1	NZ_CP031770.1	1608.563
GCA_003698205.1	NZ_CP029694.1	993.1416
GCA_003812445.1	NZ_CP033808.1	1154.9076
GCA_003812465.1	NZ_CP033809.1	883.1479
GCA_003812645.1	NZ_CP033767.1	1206.0178
GCA_003812685.1	NZ_CP033810.1	1012.81274
GCA_003812725.1	CP033815.1	982.4153
