Assembly, contig, coverage
GCA_000939415,NZ_CP015486.1,6058.233
GCA_000939415,NZ_CP015485.1,680.39954
GCA_000939415,NZ_CP015484.1,702.3511
GCA_000939415,NZ_CP015483.1,646.61334
GCA_001593425,NZ_CP018664.1,306.68555
GCA_001668465,NZ_CP035050.1,1488.3864
GCA_001668465,NZ_CP035049.1,272.79367
GCA_001669145,NZ_CP035048.1,796.8533
GCA_001669145,NZ_CP035047.1,314.95557
GCA_001669145,NZ_CP035046.1,417.8258
GCA_001669145,NZ_CP035045.1,220.93002
GCA_001674475,NZ_CP035053.1,1599.5796
GCA_001674475,NZ_CP035052.1,321.5363
GCA_001674475,NZ_CP035051.1,263.6771
GCA_001674505,NZ_CP035044.1,676.0196
GCA_001674505,NZ_CP035043.1,144.79218
GCA_001696605,NZ_CP031716.1,268.39886
GCA_001696605,NZ_CP031715.1,1977.8958
GCA_001696605,NZ_CP031714.1,2431.791
GCA_001696605,NZ_CP031713.1,5405.0874
GCA_001696605,NZ_CP031712.1,2031.0992
GCA_001696605,NZ_CP031711.1,1794.1259
GCA_001696605,NZ_CP031710.1,1523.4962
GCA_001696605,NZ_CP031709.1,1439.3785
GCA_001696615,NZ_CP032279.1,281.41464
GCA_001696615,NZ_CP032278.1,870.51843
GCA_001696615,NZ_CP032277.1,3113.64
GCA_001696615,NZ_CP032276.1,1668.6763
GCA_001696615,NZ_CP032275.1,1204.2633
GCA_001696615,NZ_CP032274.1,1297.7217
GCA_001696615,NZ_CP032273.1,1326.2491
GCA_001696615,NZ_CP032272.1,2785.9487
GCA_001696615,NZ_CP032271.1,1493.709
GCA_001696615,NZ_CP032270.1,956.31805
GCA_001696615,NZ_CP032269.1,5099.1436
GCA_001696615,NZ_CP032268.1,233.53787
GCA_001696615,NZ_CP032267.1,4349.2363
GCA_001704615,NZ_CP029397.2,372.8439
GCA_001704615,NZ_CP029396.2,383.81378
GCA_001704615,NZ_CP029395.2,2209.9324
GCA_001704615,NZ_CP029394.2,4494.4287
GCA_001704615,NZ_CP029393.2,7112.047
GCA_001704615,NZ_CP029392.2,2250.9004
GCA_001704615,NZ_CP029391.2,2224.3833
GCA_001704615,NZ_CP029390.2,2737.4138
GCA_001704615,NZ_CP029389.2,553.5243
GCA_002165245,NZ_CP028800.2,426.94785
GCA_002165245,NZ_CP028799.2,9963.45
GCA_002165245,NZ_CP028798.2,2303.5403
GCA_002165255,NZ_CP028561.1,353.78476
GCA_002165255,NZ_CP028560.1,624.39075
GCA_002165255,NZ_CP028559.1,6703.173
GCA_002165255,NZ_CP028558.1,3915.2534
GCA_002165255,NZ_CP028557.1,3669.151
GCA_002165255,NZ_CP028556.1,4863.621
GCA_002165295,NZ_CP032143.1,466.3479
GCA_002165295,NZ_CP032142.1,756.6937
GCA_002165295,NZ_CP032141.1,3516.5918
GCA_002165295,NZ_CP032140.1,4590.374
GCA_002165295,NZ_CP032139.1,2870.5288
GCA_002165295,NZ_CP032138.1,1400.1852
GCA_002165305,NZ_CP032286.1,380.94067
GCA_002165305,NZ_CP032285.1,545.7107
GCA_002165305,NZ_CP032284.1,382.25833
GCA_002165305,NZ_CP032283.1,4554.522
GCA_002165305,NZ_CP032282.1,3793.4294
GCA_002165305,NZ_CP032281.1,2000.3298
