FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008827.1	649344	649763	+	fosA6	1-420/420	===============	0/0	100.00	98.81	ncbi	NG_051497.1	fosfomycin resistance glutathione transferase FosA6	FOSFOMYCIN
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008827.1	2266687	2267478	+	aadA2	1-792/792	===============	0/0	100.00	100.00	ncbi	NG_051846.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	STREPTOMYCIN
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008827.1	2267983	2268822	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008827.1	2581626	2582486	-	blaSHV-158	1-861/861	===============	0/0	100.00	99.88	ncbi	NG_050033.1	class A beta-lactamase SHV-158	BETA-LACTAM
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008827.1	4126489	4127664	+	oqxA	1-1176/1176	===============	0/0	100.00	100.00	ncbi	NG_048024.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	PHENICOL;QUINOLONE
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008827.1	4127688	4130840	+	oqxB	1-3153/3153	===============	0/0	100.00	100.00	ncbi	NG_048025.1	multidrug efflux RND transporter permease subunit OqxB	PHENICOL;QUINOLONE
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008828.1	4035	4589	+	aac(6')-Ib-AKT	1-555/555	===============	0/0	100.00	100.00	ncbi	NG_056043.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	AMIKACIN;KANAMYCIN;TOBRAMYCIN
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008829.1	44389	45048	+	catA1	1-660/660	===============	0/0	100.00	99.85	ncbi	NG_047582.1	type A-1 chloramphenicol O-acetyltransferase	CHLORAMPHENICOL
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008829.1	51059	51556	+	dfrA12	1-498/498	===============	0/0	100.00	100.00	ncbi	NG_047689.1	trimethoprim-resistant dihydrofolate reductase DfrA12	TRIMETHOPRIM
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008829.1	51964	52755	+	aadA2	1-792/792	===============	0/0	100.00	100.00	ncbi	NG_047343.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	STREPTOMYCIN
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008829.1	53260	54099	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008829.1	59394	60315	-	mph(A)	1-921/921	========/======	1/1	100.00	99.67	ncbi	NG_047986.1	Mph(A) family macrolide 2'-phosphotransferase	MACROLIDE
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008829.1	61292	62107	+	aph(3')-Ia	1-816/816	===============	0/0	100.00	100.00	ncbi	NG_047430.1	aminoglycoside O-phosphotransferase APH(3')-Ia	KANAMYCIN
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008830.1	15984	16865	+	blaKPC-3	1-882/882	===============	0/0	100.00	100.00	ncbi	NG_049257.1	carbapenem-hydrolyzing class A beta-lactamase KPC-3	CARBAPENEM
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008830.1	26527	27351	+	blaOXA-9	1-825/825	===============	0/0	100.00	99.88	ncbi	NG_049830.1	oxacillin-hydrolyzing class D beta-lactamase OXA-9	BETA-LACTAM
GCF_000281535.2_ASM28153v2_genomic.fna	NZ_CP008830.1	28051	28911	+	blaTEM-1	1-861/861	===============	0/0	100.00	99.77	ncbi	NG_050145.1	class A broad-spectrum beta-lactamase TEM-1	BETA-LACTAM
GCF_000364385.3_ASM36438v3_genomic.fna	NZ_CP006659.2	667959	668378	+	fosA6	1-420/420	===============	0/0	100.00	98.81	ncbi	NG_051497.1	fosfomycin resistance glutathione transferase FosA6	FOSFOMYCIN
GCF_000364385.3_ASM36438v3_genomic.fna	NZ_CP006659.2	2297685	2298476	+	aadA2	1-792/792	===============	0/0	100.00	100.00	ncbi	NG_051846.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	STREPTOMYCIN
GCF_000364385.3_ASM36438v3_genomic.fna	NZ_CP006659.2	2298981	2299820	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCF_000364385.3_ASM36438v3_genomic.fna	NZ_CP006659.2	2612965	2613825	-	blaSHV-158	1-861/861	===============	0/0	100.00	99.88	ncbi	NG_050033.1	class A beta-lactamase SHV-158	BETA-LACTAM
GCF_000364385.3_ASM36438v3_genomic.fna	NZ_CP006659.2	4169699	4170874	+	oqxA	1-1176/1176	===============	0/0	100.00	100.00	ncbi	NG_048024.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	PHENICOL;QUINOLONE
GCF_000364385.3_ASM36438v3_genomic.fna	NZ_CP006659.2	4170898	4174050	+	oqxB	1-3153/3153	===============	0/0	100.00	100.00	ncbi	NG_048025.1	multidrug efflux RND transporter permease subunit OqxB	PHENICOL;QUINOLONE
GCF_000364385.3_ASM36438v3_genomic.fna	NZ_CP006659.2	5407907	5408782	+	blaCTX-M-15	1-876/876	===============	0/0	100.00	100.00	ncbi	NG_048935.1	class A extended-spectrum beta-lactamase CTX-M-15	CEPHALOSPORIN
GCF_000364385.3_ASM36438v3_genomic.fna	NZ_CP006661.1	72203	73348	+	blaCMY-6	1-1146/1146	===============	0/0	100.00	100.00	ncbi	NG_048855.1	class C beta-lactamase CMY-6	CEPHALOSPORIN
GCF_000364385.3_ASM36438v3_genomic.fna	NZ_CP006661.1	115159	115737	+	aac(6')-Ib11	1-570/570	========/======	1/9	100.00	97.75	ncbi	NG_048578.1	aminoglycoside N-acetyltransferase AAC(6')-Ib11	AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN
GCF_000364385.3_ASM36438v3_genomic.fna	NZ_CP006661.1	116247	117086	+	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
